companyeconomicsector(yahoo,advertising).
companyeconomicsector(eads,aerospace).
companyeconomicsector(fanniemaeandfreddiemac,mortgage).
companyeconomicsector(nc,insurance).
companyeconomicsector(kuth,media).
companyeconomicsector(montana,insurance).
companyeconomicsector(acura,auto).
companyeconomicsector(wyoming,insurance).
companyeconomicsector(ubs,investment).
companyeconomicsector(morningamerica,news).
companyeconomicsector(samsung,electronics).
companyeconomicsector(allied,insurance).
companyeconomicsector(manulife,insurance).
companyeconomicsector(geico,insurance).
companyeconomicsector(florida,insurancecoverage).
companyeconomicsector(agedwardssons,investment).
companyeconomicsector(pressassociation,media).
companyeconomicsector(credit,loans).
companyeconomicsector(associatedpress,media).
companyeconomicsector(thebostonglobemagazine,media).
companyeconomicsector(kaiserpermanente,healthcare).
companyeconomicsector(aetna,healthinsurance).
companyeconomicsector(theglobeandmail,media).
companyeconomicsector(kleinwortbenson,investment).
companyeconomicsector(low,insurancecompanies).
companyeconomicsector(msnbc,media).
companyeconomicsector(scientificatlanta,internet).
companyeconomicsector(ie,internet).
companyeconomicsector(ubsag,investment).
companyeconomicsector(cibcworldmarkets,investment).
companyeconomicsector(massachusetts,insurancecoverage).
companyeconomicsector(cnnmsnbc,news).
companyeconomicsector(citibank,investment).
companyeconomicsector(nationalgeographicmagazine,media).
companyeconomicsector(press,media).
companyeconomicsector(nebraska,insurance).
companyeconomicsector(star,news).
companyeconomicsector(nextelcommunicationsinc,telecommunications).
companyeconomicsector(wa,insurance).
companyeconomicsector(cbc,media).
companyeconomicsector(low,insurance).
companyeconomicsector(creditsuissegroup,investment).
companyeconomicsector(forbes,media).
companyeconomicsector(jacksonville,insurance).
companyeconomicsector(toyotamotor,automotive).
companyeconomicsector(rockwellinternational,aerospace).
companyeconomicsector(cnn,media).
companyeconomicsector(bmw,automobile).
companyeconomicsector(orange,telecommunications).
companyeconomicsector(foxnews,news).
companyeconomicsector(cibc,investment).
companyeconomicsector(morganstanleydeanwitter,investment).
companyeconomicsector(mn,insurance).
companyeconomicsector(adidas,apparel).
companyeconomicsector(priceline,travel).
companyeconomicsector(wuni,media).
companyeconomicsector(unisys,informationtechnology).
companyeconomicsector(americaonline,internet).
companyeconomicsector(petrochina,energy).
companyeconomicsector(nature,media).
companyeconomicsector(royalbank,investment).
companyeconomicsector(charlotte,insurance).
companyeconomicsector(gm,automobile).
companyeconomicsector(siemens,electronics).
companyeconomicsector(florida,realestate).
companyeconomicsector(texas,insurance).
companyeconomicsector(barclays,financialservices).
companyeconomicsector(florida,insurance).
companyeconomicsector(audible,internet).
companyeconomicsector(converse,sports).
companyeconomicsector(greenhillco,investment).
companyeconomicsector(lockheed,aerospace).
companyeconomicsector(women,insurance).
companyeconomicsector(aiginsurance,insurance).
companyeconomicsector(cnbc,business).
companyeconomicsector(thomasweiselpartners,investment).
companyeconomicsector(detroit,insurance).
companyeconomicsector(motorola,electronics).
companyeconomicsector(pc,internet).
companyeconomicsector(kmextv,media).
companyeconomicsector(investmentbankmerrilllynch,investmentbanking).
companyeconomicsector(smithbarney,investment).
companyeconomicsector(hawaii,insurance).
companyeconomicsector(amway,multilevelmarketing).
companyeconomicsector(rollingstonemagazine,media).
companyeconomicsector(philadelphia,insurance).
companyeconomicsector(electronicarts,videogames).
companyeconomicsector(abcnews,media).
companyeconomicsector(royalbank,banking).
companyeconomicsector(ncrcorporation,telecommunications).
companyeconomicsector(everdream,computer).
companyeconomicsector(harriswilliamsco,investment).
companyeconomicsector(larsentoubro,engineering).
companyeconomicsector(wachoviasecurities,investment).
companyeconomicsector(visa,financialservices).
companyeconomicsector(robertsonstephens,technologyinvestment).
companyeconomicsector(bluecrossblueshield,insurance).
companyeconomicsector(alienware,computer).
companyeconomicsector(agedwards,investment).
companyeconomicsector(rbs,investment).
companyeconomicsector(discoverychannel,media).
companyeconomicsector(telstra,telecommunications).
companyeconomicsector(salomonsmithbarney,investment).
companyeconomicsector(ati,semiconductors).
companyeconomicsector(sony,largeelectronics).
companyeconomicsector(bluecrossblueshield,health).
companyeconomicsector(cnngoodmorningamerica,news).
companyeconomicsector(linkedin,media).
companyeconomicsector(mtv,entertainment).
companyeconomicsector(wi,insurance).
companyeconomicsector(sharpcorporation,electronics).
companyeconomicsector(ibmglobalservices,consulting).
companyeconomicsector(johnsonjohnson,healthcare).
companyeconomicsector(newhampshire,insurance).
companyeconomicsector(lonelyplanet,travel).
companyeconomicsector(westvirginia,insurance).
companyeconomicsector(life,insurancepremiums).
companyeconomicsector(hewlettpackard,electronics).
companyeconomicsector(dresdnerkleinwort,investment).
companyeconomicsector(thenewyorkpost,media).
companyeconomicsector(chambers,business).
companyeconomicsector(tags,insurance).
companyeconomicsector(equallogic,computer).
companyeconomicsector(ky,insurance).
companyeconomicsector(investmentbankmerrilllynch,investment).
companyeconomicsector(donaldsonlufkinjenrette,investment).
companyeconomicsector(larryking,news).
companyeconomicsector(akamaitechnologies,semiconductors).
companyeconomicsector(thelosangelestimes,media).
companyeconomicsector(fire,insurance).
companyeconomicsector(travelers,insurance).
companyeconomicsector(mcgrawhillcompanies,publishing).
companyeconomicsector(prenticehall,publishing).
